0 1 2 3 4
225 519 587 739 821
234 508 585 736 819
235 507 586 737 820
230 509 590 734 812
231 524 583 732 815
232 523 584 731 817
233 514 585 742 807
236 522 587 728 811
237 516 590 733 808
238 513 589 729 818
239 510 588 730 824
240 515 583 743 814
241 518 582 740 813
229 511 582 727 810
228 512 584 726 809
226 517 586 735 816
227 521 589 741 823
199 504 672 1194 1295
198 503 686 1185 1294
194 506 681 1193 1284
195 501 676 1197 1300
196 498 685 1195 1290
197 499 683 1199 1292
200 499 689 1189 1299
201 500 688 1191 1301
202 504 679 1198 1287
203 506 673 1200 1288
204 505 674 1202 1291
205 502 684 1186 1297
193 500 675 1188 1285
188 501 678 1190 1293
189 502 680 1192 1289
191 503 682 1201 1298
190 505 687 1196 1296
192 498 677 1187 1286
315 491 837 893 950
314 490 838 892 949
322 480 835 889 945
323 487 826 890 946
324 488 825 891 947
325 489 836 879 948
320 481 840 885 941
321 483 839 886 943
326 482 834 894 936
327 494 831 880 942
328 492 829 882 944
329 496 828 884 937
330 497 841 881 935
331 485 827 896 939
316 484 830 887 934
317 486 832 883 933
319 493 842 895 938
318 495 833 888 940
269 480 591 709 1203
270 494 602 719 1214
281 492 592 718 1212
282 493 601 708 1213
275 483 608 712 1216
276 497 596 724 1210
277 495 599 711 1219
278 484 607 717 1205
279 491 595 713 1220
280 482 604 723 1209
283 496 603 714 1204
284 486 593 720 1218
272 485 597 715 1211
273 487 606 725 1215
274 489 605 716 1217
271 481 594 710 1207
286 488 600 722 1206
285 490 598 721 1208
205 444 606 1053 1074
200 452 592 1049 1071
201 453 591 1050 1072
202 454 603 1041 1073
203 455 604 1051 1060
204 456 605 1052 1059
194 458 600 1043 1076
195 449 602 1055 1061
196 459 594 1057 1066
197 460 596 1056 1068
198 447 597 1054 1070
199 457 608 1045 1064
193 446 595 1044 1062
189 448 599 1046 1067
188 450 598 1047 1065
190 451 607 1058 1075
192 445 593 1042 1063
191 461 601 1048 1069
305 470 633 722 928
305 469 634 723 929
308 465 618 720 925
309 466 630 709 926
310 467 631 708 927
311 468 632 721 915
308 464 622 710 932
309 465 620 713 924
310 470 619 715 922
311 462 627 719 917
312 467 625 717 916
312 469 624 716 918
313 463 621 725 931
313 468 629 711 920
306 463 623 714 921
307 464 628 724 923
307 466 635 718 930
306 462 626 712 919
287 444 843 1005 1317
288 459 852 1018 1322
299 457 844 1017 1320
300 458 851 1006 1321
304 461 860 1022 1317
303 460 859 1021 1317
293 455 847 1020 1319
294 445 858 1011 1320
295 451 848 1009 1322
296 446 853 1015 1319
297 448 857 1019 1318
298 454 850 1008 1322
301 452 854 1012 1318
302 450 846 1016 1321
292 447 845 1007 1318
289 449 849 1010 1319
290 453 855 1013 1321
291 456 856 1014 1320
242 479 1089 1218 1249
242 478 1090 1219 1250
246 474 1078 1215 1246
247 475 1077 1216 1247
248 476 1087 1203 1248
249 477 1088 1217 1239
245 474 1092 1207 1243
245 478 1091 1206 1245
246 479 1082 1209 1251
247 476 1080 1211 1253
248 473 1083 1204 1256
249 471 1086 1212 1244
250 472 1093 1210 1255
250 477 1084 1214 1240
244 472 1081 1205 1242
243 473 1094 1213 1252
243 475 1085 1220 1254
244 471 1079 1208 1241
314 437 788 962 1199
315 436 787 961 1198
326 426 783 959 1195
327 433 784 952 1196
328 434 785 951 1197
329 435 786 960 1185
320 427 788 963 1192
321 429 785 964 1191
322 428 781 966 1201
323 438 787 957 1187
324 440 786 956 1186
325 442 782 953 1190
330 432 783 954 1202
331 443 780 967 1188
317 430 780 955 1193
318 439 782 968 1200
319 441 784 965 1194
316 431 781 958 1189
251 426 564 672 1006
252 440 570 689 1020
263 438 564 687 1019
264 439 569 688 1005
257 442 571 675 1009
258 431 566 684 1014
259 430 569 676 1018
260 441 568 685 1007
261 437 566 686 1010
262 428 572 680 1015
265 427 570 682 1011
266 443 565 678 1022
256 429 565 673 1008
255 434 571 681 1021
254 435 572 683 1017
253 432 567 679 1012
267 433 567 677 1016
268 436 568 674 1013
242 423 703 704 1310
250 422 690 702 1309
245 420 699 701 1308
246 419 694 700 1309
247 418 696 698 1310
248 425 695 707 1308
249 421 691 706 1310
243 424 697 705 1309
244 417 692 693 1308
224 443 932 1146 1307
225 442 931 1145 1306
236 426 930 1143 1304
237 441 915 1144 1305
230 431 924 1141 1303
231 436 920 1135 1304
232 434 921 1136 1307
233 439 916 1139 1307
234 437 925 1137 1302
235 435 929 1140 1303
238 429 923 1138 1306
239 440 919 1148 1302
240 430 927 1131 1306
241 432 928 1133 1305
228 428 918 1132 1302
227 433 922 1147 1304
226 438 926 1142 1305
229 427 917 1134 1303
211 425 618 1161 1297
210 424 635 1149 1296
209 419 632 1166 1291
209 417 634 1164 1289
210 421 631 1152 1301
211 423 623 1163 1285
212 418 625 1159 1300
212 417 626 1160 1298
213 420 620 1165 1294
213 424 633 1157 1286
214 422 629 1150 1290
214 423 628 1153 1293
206 418 621 1154 1284
206 419 619 1151 1287
207 420 624 1156 1292
207 421 622 1155 1288
208 422 630 1158 1295
208 425 627 1162 1299
305 407 742 743 977
312 406 740 741 969
308 407 728 735 972
309 405 729 738 973
310 405 726 737 976
311 406 731 739 970
313 407 727 730 974
307 406 734 736 975
306 405 732 733 971
287 408 1095 1167 1239
288 414 1108 1183 1253
301 408 1107 1181 1251
302 413 1096 1182 1252
293 416 1099 1175 1256
294 411 1103 1180 1241
295 411 1098 1184 1250
296 413 1110 1173 1242
297 410 1101 1179 1254
298 415 1105 1169 1244
299 414 1100 1177 1245
300 412 1111 1168 1255
291 415 1109 1176 1248
290 416 1112 1178 1246
292 409 1097 1170 1240
289 412 1102 1174 1243
304 410 1104 1171 1249
303 409 1106 1172 1247
214 408 572 803 804
212 415 564 800 801
213 416 571 789 802
209 412 565 799 805
210 409 570 793 798
211 414 567 790 797
206 410 566 791 792
208 413 569 796 806
207 411 568 794 795
315 387 578 1255 1300
314 386 577 1256 1301
330 378 575 1254 1298
331 385 576 1239 1299
320 395 574 1248 1287
321 391 573 1250 1286
322 389 577 1243 1284
323 394 575 1240 1292
324 393 577 1242 1293
325 381 573 1253 1295
326 384 578 1252 1285
327 379 578 1246 1288
328 380 576 1249 1289
329 390 574 1241 1296
317 382 573 1244 1291
316 383 574 1245 1290
318 388 576 1247 1294
319 392 575 1251 1297
305 402 581 1229 1230
313 401 580 1221 1228
308 403 579 1223 1233
309 400 581 1224 1235
310 398 580 1222 1237
311 397 581 1226 1231
312 396 579 1236 1238
306 399 579 1225 1227
307 404 580 1232 1234
269 378 645 844 879
270 390 653 854 896
283 388 645 853 894
284 389 652 843 895
275 386 648 860 881
276 382 653 846 891
277 379 652 852 887
278 385 646 849 893
279 395 649 845 888
280 383 651 857 882
281 387 650 848 884
282 381 649 855 892
272 384 648 850 885
273 391 651 851 889
274 393 650 859 890
271 380 647 847 880
286 392 647 858 886
285 394 646 856 883
224 395 643 776 1035
225 394 644 775 1036
238 378 639 772 1033
239 391 640 762 1034
240 392 641 773 1024
241 393 642 774 1023
230 387 638 764 1029
231 388 644 769 1028
232 390 640 768 1026
233 383 637 777 1038
234 382 643 767 1031
235 384 642 765 1032
236 380 639 779 1030
237 386 636 770 1040
227 385 641 771 1037
226 389 638 778 1039
229 379 636 766 1025
228 381 637 763 1027
222 404 1148 1167 1220
221 403 1147 1184 1203
218 399 1143 1183 1208
218 400 1145 1182 1207
219 404 1140 1170 1218
219 396 1142 1180 1211
220 401 1132 1171 1214
220 402 1136 1174 1213
221 402 1138 1178 1205
222 397 1146 1173 1215
223 398 1134 1179 1217
223 399 1133 1176 1219
217 397 1131 1168 1204
215 398 1137 1172 1209
215 400 1139 1175 1210
